K,Average User Time (s),Average Memory (KB),Passes
1,0.3333,39194.6667,5
2,0.2933,29798.6667,4
3,0.23,21634.6667,3
4,0.2967,24713.3333,3
5,0.1433,21752.0,2
6,0.1467,20468.0,2
7,0.1633,22281.3333,2
8,0.1667,24094.6667,2
9,0.19,25950.6667,2
10,0.2133,28100.0,2
