K,Time (s),Memory (MB),Passes
1,10.06,10.62,231
2,1.73,11.77,33
3,0.83,13.63,17
4,0.70,15.13,12
5,0.54,16.91,10
6,0.40,18.52,6
7,0.43,20.24,7
8,0.22,22.08,3
9,0.20,23.81,3
10,0.24,25.51,3
