K,Time (s),Memory (MB),Passes
1,0.32,38.39,5
2,0.32,29.19,4
3,0.20,21.26,3
4,0.29,24.24,3
5,0.13,21.26,2
6,0.16,19.94,2
7,0.15,21.91,2
8,0.19,23.61,2
9,0.18,25.34,2
10,0.23,27.51,2
