K,Time (s),Memory (MB),Passes
1,8.56,11.01,190
2,1.06,12.19,19
3,0.69,13.60,13
4,0.51,15.45,8
5,0.26,17.17,4
6,0.51,19.06,8
7,0.18,20.88,3
8,0.22,22.58,3
9,0.17,24.38,2
10,0.20,26.09,2
