K,Time (s),Memory (MB),Passes
1,10.89,10.46,221
2,1.56,12.00,35
3,0.93,13.79,19
4,0.71,15.40,12
5,0.49,17.23,9
6,0.30,18.98,4
7,0.37,20.80,6
8,0.20,23.19,3
9,0.20,24.72,3
10,0.19,26.12,2
