M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0039000000000000003,6236.0,3.04,18.13
2000,0.0058,6300.0,3.39,36.45
3000,0.0076,6224.0,3.43,42.79
4000,0.0092,6196.0,3.4,46.95
5000,0.0109,6264.0,3.38,50.08
6000,0.0127,6208.0,3.42,52.48
7000,0.0144,6304.0,3.45,54.7
8000,0.0158,6252.0,3.45,56.52
9000,0.0177,7240.0,3.48,57.98
10000,0.0194,6244.0,3.5,59.42
12000,0.022000000000000002,6280.0,3.46,62.15
14000,0.025,6296.0,3.49,64.16
16000,0.0281,6244.0,3.45,66.29
18000,0.030699999999999998,6264.0,3.41,68.09
25000,0.0406,6256.0,3.49,73.16
30000,0.047,6252.0,3.45,76.46
35000,0.0521,7328.0,3.45,79.26
40000,0.0596,6208.0,3.45,81.96
45000,0.06559999999999999,6244.0,3.45,84.69
50000,0.0703,7292.0,3.43,87.29
60000,0.0827,6244.0,3.44,92.07
70000,0.0951,6280.0,3.46,96.31
80000,0.10640000000000001,7268.0,3.42,100.33
90000,0.11689999999999999,7224.0,3.42,104.39
100000,0.1253,7312.0,3.41,108.45
200000,0.2379,7280.0,3.44,147.28
300000,0.355,7284.0,3.37,187.72
400000,0.4537,7268.0,3.33,228.83
500000,0.5697,7304.0,3.37,271.16
600000,0.6878,7268.0,3.39,314.28
