M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,42052.0,1.0,0.09
2000,0.0008,43116.0,1.0,0.09
3000,0.0013,45160.0,1.0,0.08
4000,0.0016,47264.0,1.0,0.06
5000,0.002,48228.0,1.0,0.04
6000,0.0023,49260.0,1.0,0.04
7000,0.0025,50244.0,1.0,0.05
8000,0.0029,51272.0,1.0,0.04
9000,0.0034000000000000002,52336.0,1.0,0.04
10000,0.0036,53356.0,1.0,0.04
12000,0.0042,54396.0,1.0,0.04
14000,0.0049,55396.0,1.0,0.02
16000,0.0055000000000000005,57424.0,1.0,0.03
18000,0.0060999999999999995,57444.0,1.0,0.02
25000,0.008199999999999999,60544.0,1.0,0.02
30000,0.0098,62528.0,1.0,0.0
35000,0.011000000000000001,63588.0,1.0,0.06
40000,0.0126,64612.0,1.0,0.07
45000,0.013500000000000002,64648.0,1.0,0.06
50000,0.0152,66712.0,1.0,0.05
60000,0.0583,6208.0,2.46,93.43
70000,0.0661,6224.0,2.45,97.72
80000,0.0747,7284.0,2.48,101.75
90000,0.0817,7276.0,2.44,105.74
100000,0.0916,7328.0,2.45,109.88
200000,0.1782,7232.0,2.47,148.59
300000,0.2698,7284.0,2.42,189.15
400000,0.3457,7324.0,2.37,230.26
500000,0.4376,7292.0,2.42,272.65
600000,0.525,7268.0,2.42,315.81
