N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,2.9999999999999997e-05,4196.0,2.0,9.679
20,8.999999999999999e-05,4168.0,2.788,18.771
30,0.00015,3108.0,2.957,27.737
40,0.00020999999999999998,4168.0,2.996,36.512
50,0.00028000000000000003,4168.0,3.0,45.57
60,0.00034,3132.0,3.0,54.394
70,0.0004,4196.0,3.0,63.358
80,0.00047,4164.0,3.0,72.313
90,0.00055,3128.0,3.0,81.316
100,0.00062,3140.0,3.0,90.309
200,0.0014199999999999998,4192.0,3.0,180.549
300,0.00221,4188.0,3.0,271.609
400,0.00318,3108.0,3.0,362.71
500,0.00401,4176.0,3.0,454.528
600,0.008199999999999999,4168.0,3.0,546.427
700,0.00959,4192.0,3.0,638.521
800,0.011130000000000001,3108.0,3.0,730.668
900,0.010150000000000001,4132.0,3.0,823.493
1000,0.0103,4132.0,3.0,915.154
1200,0.01507,4132.0,3.0,1100.65
1400,0.01517,4128.0,3.0,1286.38
1600,0.02402,4216.0,3.0,1471.63
1800,0.019129999999999998,4132.0,3.0,1657.95
2000,0.02161,5240.0,3.0,1843.95
2500,0.02827,5188.0,3.0,2310.34
3000,0.034659999999999996,5164.0,3.0,2776.86
3500,0.04094,6192.0,3.0,3243.74
4000,0.04743,6208.0,3.0,3711.23
4500,0.05382,8264.0,3.0,4179.58
5000,0.06093,8292.0,3.0,4648.32
6000,0.07253,9364.0,3.0,5587.35
7000,0.08651,9252.0,3.0,6525.31
8000,0.10252,10288.0,3.0,7466.22
9000,0.11596,12152.0,3.0,8406.76
10000,0.13063999999999998,12744.0,3.0,9349.96
