M,Time (s),Memory (KB),Passes
1000,0.0,42036.0,1.0
2000,0.0,44088.0,1.0
3000,0.0,47160.0,1.0
4000,0.0,49268.0,1.0
5000,0.0,52320.0,1.0
6000,0.0,57400.0,1.0
7000,0.0,60468.0,1.0
8000,0.0,61476.0,1.0
9000,0.0,64572.0,1.0
10000,0.0,66652.0,1.0
12500,0.01,67672.0,1.0
15000,0.01,70716.0,1.0
17500,0.01,71760.0,1.0
20000,0.01,71736.0,1.0
22500,0.01,72764.0,1.0
25000,0.01,73784.0,1.0
30000,0.01,73876.0,1.0
40000,0.01,74856.0,1.0
50000,0.02,76888.0,1.0
60000,0.15,8252.0,3.15
70000,0.16,8280.0,3.07
80000,0.17,8264.0,3.05
90000,0.19,8272.0,3.08
100000,0.2,8256.0,3.07
200000,0.33,9272.0,3.07
300000,0.46,8228.0,3.03
400000,0.58,8268.0,3.01
500000,0.71,8288.0,2.99
600000,0.84,8228.0,2.93
700000,0.96,8268.0,2.93
800000,1.08,8240.0,2.96
900000,1.2,8228.0,2.89
1000000,1.32,8228.0,2.85
2000000,2.45,8228.0,2.63
4000000,4.7,7204.0,2.46
6000000,6.69,7204.0,2.31
8000000,8.67,6176.0,2.2
10000000,10.75,7204.0,2.13
15000000,15.7,6192.0,2.06
20000000,21.16,7216.0,2.06
25000000,26.41,6180.0,2.05
30000000,30.82,8228.0,2.01
35000000,35.48,7204.0,2.0
40000000,40.0,7204.0,2.0
49995000,51.03,7232.0,2.0
