M,Time (s),Memory (KB),Passes
1000,0.0,42060.0,1.0
2000,0.0,44128.0,1.0
3000,0.0,47144.0,1.0
4000,0.0,49212.0,1.0
5000,0.0,52260.0,1.0
6000,0.0,56368.0,1.0
7000,0.0,59440.0,1.0
8000,0.0,62564.0,1.0
9000,0.0,63596.0,1.0
10000,0.0,66640.0,1.0
12500,0.01,68664.0,1.0
15000,0.01,69756.0,1.0
17500,0.01,70780.0,1.0
20000,0.01,70776.0,1.0
22500,0.08,9272.0,2.0
25000,0.09,10300.0,2.0
30000,0.1,10296.0,2.0
40000,0.11,9252.0,2.0
50000,0.13,9252.0,2.0
60000,0.14,10296.0,2.01
70000,0.15,10280.0,2.04
80000,0.16,9272.0,2.07
90000,0.18,10324.0,2.06
100000,0.19,9264.0,2.06
200000,0.33,9248.0,2.86
300000,0.44,9300.0,2.91
400000,0.55,9316.0,2.92
500000,0.67,9248.0,2.93
600000,0.77,10288.0,2.86
700000,0.88,10320.0,2.89
800000,0.99,9256.0,2.86
900000,1.08,9252.0,2.8
1000000,1.17,9264.0,2.78
2000000,2.15,9280.0,2.62
4000000,3.92,9272.0,2.41
6000000,5.65,8228.0,2.28
8000000,7.38,9336.0,2.18
10000000,8.78,7224.0,2.11
15000000,13.25,9332.0,2.07
20000000,17.42,9252.0,2.05
25000000,21.46,10296.0,2.04
30000000,25.58,7200.0,2.03
35000000,29.71,7204.0,2.03
40000000,33.11,8228.0,2.01
49995000,41.24,9280.0,2.0
