M,Time (s),Memory (KB),Passes
1000,0.0,42072.0,1.0
2000,0.0,45140.0,1.0
3000,0.0,46204.0,1.0
4000,0.0,49268.0,1.0
5000,0.0,53304.0,1.0
6000,0.0,57432.0,1.0
7000,0.0,59484.0,1.0
8000,0.0,63592.0,1.0
9000,0.0,63608.0,1.0
10000,0.0,65640.0,1.0
12500,0.01,68668.0,1.0
15000,0.01,68644.0,1.0
17500,0.01,70720.0,1.0
20000,0.01,71772.0,1.0
22500,0.01,71744.0,1.0
25000,0.01,72756.0,1.0
30000,0.01,74828.0,1.0
40000,0.01,75840.0,1.0
50000,0.02,76880.0,1.0
60000,0.14,12404.0,2.0
70000,0.16,12324.0,2.0
80000,0.17,12324.0,2.0
90000,0.18,12328.0,2.0
100000,0.19,12368.0,2.0
200000,0.29,12324.0,2.0
300000,0.37,13372.0,2.0
400000,0.46,12328.0,2.01
500000,0.55,12352.0,2.01
600000,0.64,12320.0,2.03
700000,0.73,12324.0,2.04
800000,0.81,13404.0,2.05
900000,0.9,12360.0,2.08
1000000,0.97,12324.0,2.07
2000000,1.99,11300.0,2.41
4000000,3.67,12324.0,2.31
6000000,5.45,11296.0,2.31
8000000,6.98,11324.0,2.2
10000000,8.67,12324.0,2.19
15000000,12.5,11300.0,2.08
20000000,15.89,11300.0,2.02
25000000,19.75,12336.0,2.0
30000000,24.13,11380.0,2.01
35000000,27.65,10352.0,2.0
40000000,31.47,11300.0,2.0
49995000,39.39,11376.0,2.0
