M,Time (s),Memory (KB),Passes
1000,0.0,42020.0,1.0
2000,0.0,44100.0,1.0
3000,0.0,47160.0,1.0
4000,0.0,49232.0,1.0
5000,0.0,54312.0,1.0
6000,0.0,57384.0,1.0
7000,0.0,58428.0,1.0
8000,0.0,63544.0,1.0
9000,0.0,64596.0,1.0
10000,0.01,65596.0,1.0
12500,0.01,68660.0,1.0
15000,0.01,70720.0,1.0
17500,0.01,71776.0,1.0
20000,0.01,71736.0,1.0
22500,0.01,71796.0,1.0
25000,0.01,73764.0,1.0
30000,0.01,74808.0,1.0
40000,0.01,75864.0,1.0
50000,0.02,76892.0,1.0
60000,0.02,75844.0,1.0
70000,0.02,76888.0,1.0
80000,0.03,75876.0,1.0
90000,0.03,76864.0,1.0
100000,0.03,75812.0,1.0
200000,0.34,8308.0,3.06
300000,0.46,8228.0,3.05
400000,0.58,9268.0,2.99
500000,0.72,8228.0,2.99
600000,0.83,9272.0,2.92
700000,0.95,8272.0,2.89
800000,1.09,8228.0,2.92
900000,1.2,8228.0,2.91
1000000,1.31,8256.0,2.86
2000000,2.48,8228.0,2.63
4000000,4.73,8228.0,2.5
6000000,6.77,8228.0,2.38
8000000,8.81,8264.0,2.19
10000000,10.83,8224.0,2.14
15000000,15.97,8292.0,2.08
20000000,21.36,7224.0,2.07
25000000,26.46,7204.0,2.05
30000000,31.44,9312.0,2.03
35000000,35.44,6180.0,2.01
40000000,42.46,9252.0,2.0
49995000,51.23,10276.0,2.0
