M,Time (s),Memory (KB),Passes
1000,0.0,41048.0,1.0
2000,0.0,45092.0,1.0
3000,0.0,47152.0,1.0
4000,0.0,50236.0,1.0
5000,0.0,53300.0,1.0
6000,0.0,56356.0,1.0
7000,0.0,60456.0,1.0
8000,0.0,62580.0,1.0
9000,0.0,63612.0,1.0
10000,0.0,66600.0,1.0
12500,0.01,68700.0,1.0
15000,0.01,70712.0,1.0
17500,0.01,70780.0,1.0
20000,0.01,71740.0,1.0
22500,0.08,8280.0,3.14
25000,0.09,7268.0,3.18
30000,0.1,8244.0,3.14
40000,0.11,8240.0,3.15
50000,0.13,8260.0,3.1
60000,0.14,9284.0,3.13
70000,0.16,8252.0,3.11
80000,0.17,9272.0,3.05
90000,0.19,7240.0,3.06
100000,0.2,7204.0,3.09
200000,0.33,8228.0,3.08
300000,0.46,8224.0,3.05
400000,0.59,9276.0,3.02
500000,0.7,8260.0,2.99
600000,0.83,8272.0,2.91
700000,0.96,7204.0,2.93
800000,1.08,8256.0,2.95
900000,1.18,8228.0,2.87
1000000,1.33,8308.0,2.88
2000000,2.49,7208.0,2.7
4000000,4.68,8312.0,2.5
6000000,6.83,7224.0,2.33
8000000,8.89,7204.0,2.24
10000000,10.82,8260.0,2.15
15000000,15.86,7204.0,2.07
20000000,21.19,6180.0,2.03
25000000,26.24,8260.0,2.03
30000000,31.45,6180.0,2.02
35000000,35.19,6180.0,2.01
40000000,40.15,7204.0,2.01
49995000,52.36,8224.0,2.0
