K,Average User Time (s),Average Memory (KB),Passes
1,0.598,25680.8,3
2,0.526,30711.2,2
3,0.578,36034.4,2
4,0.536,40264.0,1
5,0.524,40280.8,1
6,0.538,40243.2,1
7,0.532,40268.0,1
8,0.538,40200.8,1
9,0.52,40210.4,1
10,0.546,40252.0,1
