K,Iteration,User Time (s),Memory (KB),Passes
3,1,133.16,52588.0,5
3,2,133.11,52256.0,5
3,3,45.51,52592.0,5
3,4,28.24,52576.0,5
3,5,29.88,52684.0,5
3,6,113.54,52108.0,5
3,7,44.45,52676.0,5
3,8,39.35,52628.0,5
3,9,46.08,52680.0,5
3,10,130.66,52192.0,5
3,11,123.81,52320.0,5
3,12,133.74,52440.0,5
3,13,184.19,51096.0,5
3,14,198.95,51380.0,5
3,15,200.27,51368.0,5
3,16,175.26,52244.0,5
3,17,46.16,52636.0,5
3,18,32.65,52600.0,5
3,19,33.64,52532.0,5
3,20,33.57,52464.0,5
3,21,34.06,52588.0,5
3,22,33.42,52656.0,5
3,23,37.42,52628.0,5
3,24,41.56,52648.0,5
3,25,32.52,52620.0,5
3,26,33.67,52504.0,5
3,27,31.23,52608.0,5
3,28,38.28,52664.0,5
3,29,179.74,52416.0,5
3,30,177.92,52068.0,5
3,31,186.85,52312.0,5
3,32,167.03,52348.0,5
3,33,46.0,52668.0,5
3,34,17.21,52692.0,5
3,35,20.87,52688.0,5
3,36,17.31,52688.0,5
3,37,18.06,52612.0,5
3,38,18.0,52644.0,5
3,39,18.88,52664.0,5
3,40,16.07,52652.0,5
3,41,242.79,51824.0,5
3,42,270.69,51076.0,5
3,43,241.13,51252.0,5
3,44,254.9,51924.0,5
3,45,234.68,52540.0,5
3,46,180.13,52420.0,5
3,47,177.0,51944.0,5
3,48,184.93,52512.0,5
3,49,211.02,51576.0,5
3,50,166.61,52248.0,5
