K,Average User Time (s),Average Memory (KB),Passes
1,0.0,3746.4,2
2,0.0,3764.0,2
3,0.0,3792.0,2
4,0.0,3718.4,2
5,0.0,3800.8,2
6,0.0,3817.6,2
7,0.0,3803.2,2
8,0.0,3824.8,2
9,0.0,3885.6,2
10,0.0,3876.0,2
