K,Time (s),Memory (KB),Passes
1,175.21,83248.0,603
2,31.85,100476.0,28
3,18.52,116932.0,6
4,21.84,140936.0,5
5,0.24,49332.0,1
6,0.26,49216.0,1
7,0.25,49412.0,1
8,0.27,49420.0,1
9,0.25,49436.0,1
10,0.25,49412.0,1
