N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4168.0,1.0,3.0
20,0.0,4168.0,1.0,4.0
30,0.0,3192.0,1.0,7.0
40,0.0,3140.0,1.0,8.0
50,0.0,4156.0,1.0,10.0
60,0.0,3144.0,1.0,9.0
70,0.0,4156.0,1.0,10.0
80,0.0,4192.0,1.0,9.0
90,0.0,3192.0,1.0,14.0
100,0.0,3124.0,1.0,18.0
200,0.0,4164.0,2.0,193.0
300,0.0,3120.0,2.0,289.0
400,0.0,4152.0,2.0,390.0
500,0.01,4160.0,2.0,482.0
600,0.01,3168.0,2.0,585.0
700,0.02,5192.0,2.0,683.0
800,0.02,5196.0,2.0,778.0
900,0.02,5172.0,2.0,873.0
1000,0.03,4212.0,2.0,974.0
1200,0.04,4196.0,2.0,1173.0
1400,0.05,5208.0,2.0,1365.0
1600,0.06,6196.0,2.0,1563.0
1800,0.07,5168.0,2.0,1763.0
2000,0.08,6192.0,2.0,1963.0
2500,0.12,6200.0,2.0,2462.0
3000,0.16,8240.0,2.0,2964.0
3500,0.2,7276.0,2.0,3447.0
4000,0.24,9304.0,2.0,3938.0
4500,0.29,8260.0,2.0,4449.0
5000,0.34,9320.0,2.0,4951.0
6000,0.45,11316.0,2.0,5944.0
7000,0.55,13400.0,2.0,6944.0
8000,0.68,14432.0,2.0,7927.0
9000,0.8,15412.0,2.0,8920.0
10000,0.95,15420.0,2.0,9922.0
