M,Time (s),Memory (KB),Passes
100,0.0,40220.0,1.0
500,0.0,40744.0,1.0
1000,0.0,42200.0,1.0
2500,0.0,46240.0,1.0
5000,0.0,54116.0,1.0
7500,0.0,61844.0,1.0
10000,0.0,66480.0,1.0
15000,0.01,70384.0,1.0
20000,0.01,72060.0,1.0
25000,0.02,9908.0,2.0
30000,0.05,9132.0,3.0
40000,0.05,9836.0,3.0
50000,0.05,9848.0,3.0
75000,0.06,9484.0,3.0
100000,0.09,9856.0,3.0
200000,0.14,9924.0,3.0
300000,0.28,9844.0,4.0
400000,0.34,9648.0,4.0
500000,0.38,9844.0,4.0
750000,0.62,9652.0,4.0
1000000,0.81,9172.0,4.0
2500000,2.13,9836.0,4.0
5000000,3.83,9292.0,4.0
7500000,5.79,9928.0,4.0
10000000,7.81,9756.0,4.0
25000000,21.45,9904.0,4.52
49995000,43.01,9828.0,4.74
