M,Time (s),Memory (KB),Passes
100,0.2,6848.0,2.0
500,0.17,6816.0,2.0
1000,0.18,6740.0,2.0
2500,0.15,7068.0,2.0
5000,0.1,7144.0,2.0
7500,0.06,8188.0,2.0
10000,0.04,8916.0,2.0
15000,0.02,9708.0,2.0
20000,0.02,10232.0,2.0
25000,0.02,10788.0,2.0
30000,0.02,11468.0,2.0
40000,0.05,12428.0,3.0
50000,0.05,12328.0,3.0
75000,0.06,12388.0,3.0
100000,0.07,12420.0,3.0
200000,0.13,12404.0,3.0
300000,0.28,12436.0,4.0
400000,0.32,12332.0,4.0
500000,0.38,12444.0,4.0
750000,0.58,12424.0,4.0
1000000,0.76,12384.0,4.0
2500000,2.32,12324.0,5.0
5000000,5.4,12424.0,5.02
7500000,8.04,12408.0,5.88
10000000,10.93,12308.0,6.0
25000000,27.44,12292.0,6.0
49995000,55.04,12400.0,6.08
