M,Time (s),Memory (KB),Passes
100,0.2,6676.0,2.0
500,0.17,6944.0,2.0
1000,0.18,6832.0,2.0
2500,0.15,7084.0,2.0
5000,0.1,7108.0,2.0
7500,0.06,8256.0,2.0
10000,0.04,8900.0,2.0
15000,0.02,9620.0,2.0
20000,0.02,10324.0,2.0
25000,0.02,10852.0,2.0
30000,0.02,11400.0,2.0
40000,0.03,12420.0,2.0
50000,0.03,13460.0,2.0
75000,0.04,15800.0,2.0
100000,0.08,17264.0,3.0
200000,0.14,17132.0,3.0
300000,0.22,17156.0,3.0
400000,0.25,17276.0,3.0
500000,0.3,17164.0,3.0
750000,0.44,17416.0,3.0
1000000,0.65,17264.0,3.04
2500000,1.88,17144.0,4.0
5000000,3.63,17224.0,4.0
7500000,5.62,17224.0,4.0
10000000,7.44,17196.0,4.0
25000000,22.86,17076.0,4.95
49995000,44.12,17092.0,4.95
