M,Time (s),Memory (KB),Passes
100,0.0,40228.0,1.0
500,0.0,40716.0,1.0
1000,0.0,42136.0,1.0
2500,0.0,46232.0,1.0
5000,0.0,54024.0,1.0
7500,0.0,61668.0,1.0
10000,0.0,66444.0,1.0
15000,0.0,70332.0,1.0
20000,0.01,71968.0,1.0
25000,0.01,73552.0,1.0
30000,0.01,74780.0,1.0
40000,0.01,75840.0,1.0
50000,0.01,76872.0,1.0
75000,0.02,76920.0,1.0
100000,0.03,77344.0,1.0
200000,0.11,17632.0,2.0
300000,0.13,17664.0,2.0
400000,0.17,17672.0,2.0
500000,0.2,17484.0,2.0
750000,0.29,17612.0,2.0
1000000,0.49,17700.0,2.0
2500000,0.97,17484.0,2.0
5000000,1.92,17684.0,2.0
7500000,2.74,17684.0,2.0
10000000,4.61,17596.0,2.0
25000000,14.4,17692.0,2.99
49995000,27.6,17624.0,2.99
