M,Time (s),Memory (KB),Passes
100,0.0,40284.0,1.0
500,0.0,40772.0,1.0
1000,0.0,42108.0,1.0
2500,0.0,46232.0,1.0
5000,0.0,53924.0,1.0
7500,0.0,61852.0,1.0
10000,0.0,66600.0,1.0
15000,0.01,70364.0,1.0
20000,0.01,71992.0,1.0
25000,0.01,73668.0,1.0
30000,0.01,74720.0,1.0
40000,0.01,75840.0,1.0
50000,0.01,76872.0,1.0
75000,0.05,12816.0,2.0
100000,0.05,12728.0,2.0
200000,0.11,12844.0,2.0
300000,0.15,12856.0,2.0
400000,0.16,12756.0,2.0
500000,0.22,12852.0,2.0
750000,0.29,12768.0,2.0
1000000,0.47,12908.0,2.0
2500000,1.5,12728.0,3.0
5000000,2.77,12704.0,3.0
7500000,4.11,12408.0,3.0
10000000,5.53,12736.0,3.0
25000000,15.22,12772.0,3.0
49995000,28.2,12824.0,3.0
