K,Time (s),Memory (KB),Passes
1,0.1,3072.0,33.54
2,0.03,3072.0,9.44
3,0.01,3072.0,4.0
4,0.01,3072.0,3.0
5,0.01,4096.0,3.0
6,0.01,4096.0,3.0
7,0.01,4096.0,3.0
8,0.01,4096.0,3.0
9,0.01,4096.0,3.0
10,0.01,4096.0,3.0
11,0.01,4096.0,2.0
12,0.01,4096.0,2.0
13,0.01,4096.0,2.0
14,0.01,4096.0,2.0
15,0.01,4096.0,2.0
16,0.01,4096.0,2.0
17,0.01,4096.0,2.0
18,0.01,4096.0,2.0
19,0.01,4096.0,2.0
20,0.01,4096.0,2.0
21,0.01,4096.0,2.0
22,0.01,4096.0,2.0
23,0.01,4096.0,2.0
24,0.01,4096.0,2.0
25,0.01,4096.0,2.0
26,0.01,4096.0,2.0
27,0.01,4096.0,2.0
28,0.01,4096.0,2.0
29,0.01,4096.0,2.0
30,0.01,4096.0,2.0
31,0.01,4096.0,2.0
32,0.01,4096.0,2.0
33,0.01,4096.0,2.0
34,0.01,4096.0,2.0
35,0.01,4096.0,2.0
36,0.01,4096.0,2.0
37,0.01,4096.0,2.0
38,0.01,4096.0,2.0
39,0.01,4096.0,2.0
40,0.01,4096.0,2.0
45,0.01,4096.0,2.0
50,0.01,4096.0,2.0
55,0.01,4096.0,2.0
60,0.01,4096.0,2.0
65,0.01,4096.0,2.0
70,0.01,4096.0,2.0
75,0.01,4096.0,2.0
80,0.01,4096.0,2.0
85,0.01,4096.0,2.0
90,0.01,4096.0,2.0
95,0.01,4096.0,2.0
100,0.01,4096.0,2.0
150,0.01,4096.0,2.0
200,0.01,4096.0,2.0
250,0.01,4096.0,2.0
300,0.01,4096.0,2.0
350,0.01,4096.0,2.0
400,0.01,4096.0,2.0
450,0.01,4096.0,2.0
500,0.01,4096.0,2.0
550,0.01,4096.0,2.0
600,0.01,4096.0,2.0
650,0.01,4096.0,2.0
700,0.01,4096.0,2.0
750,0.01,4096.0,2.0
800,0.01,4096.0,2.0
850,0.01,4096.0,2.0
900,0.01,4096.0,2.0
950,0.01,4096.0,2.0
1000,0.01,4096.0,2.0
