K,Time (s),Memory (KB),Passes
1,0.04,4168.0,13.93
2,0.02,4192.0,7.14
3,0.02,4168.0,4.92
4,0.01,4168.0,4.36
5,0.01,4156.0,3.64
6,0.01,4168.0,3.34
7,0.01,5196.0,3.28
8,0.01,4132.0,3.22
9,0.01,5192.0,3.17
10,0.01,4132.0,3.15
12,0.01,4188.0,2.64
14,0.01,5188.0,2.22
16,0.01,4172.0,2.19
18,0.01,5192.0,2.18
20,0.01,5192.0,2.16
25,0.01,5192.0,2.07
30,0.01,5188.0,2.0
35,0.01,5268.0,2.0
40,0.01,4132.0,2.0
50,0.01,4152.0,2.0
75,0.01,4132.0,2.0
100,0.01,5192.0,2.0
250,0.01,5192.0,2.0
500,0.01,4132.0,2.0
750,0.01,5220.0,2.0
1000,0.01,5172.0,2.0
2500,0.01,4132.0,2.0
5000,0.01,5192.0,2.0
7500,0.01,5192.0,2.0
10000,0.01,5292.0,2.0
