K,Time (s),Memory (KB),Passes
1,0.01,4196.0,2.07
2,0.01,4196.0,2.04
3,0.01,4196.0,2.01
4,0.01,4172.0,2.0
5,0.01,5192.0,2.0
6,0.01,5276.0,2.0
7,0.01,5192.0,2.0
8,0.01,5220.0,2.0
9,0.01,5192.0,1.87
10,0.0,66648.0,1.0
12,0.0,66652.0,1.0
14,0.0,66632.0,1.0
16,0.0,66632.0,1.0
18,0.0,66632.0,1.0
20,0.0,66652.0,1.0
25,0.0,66636.0,1.0
30,0.0,66656.0,1.0
35,0.0,66632.0,1.0
40,0.0,66632.0,1.0
50,0.0,66632.0,1.0
75,0.0,66676.0,1.0
100,0.0,66680.0,1.0
250,0.0,66660.0,1.0
500,0.0,66632.0,1.0
750,0.0,66632.0,1.0
1000,0.0,64580.0,1.0
2500,0.0,66632.0,1.0
5000,0.0,66656.0,1.0
7500,0.0,66632.0,1.0
10000,0.0,66660.0,1.0
