K,Time (s),Memory (KB),Passes
1,0.01,4192.0,3.25
2,0.01,3140.0,3.25
3,0.01,4196.0,3.25
4,0.01,4168.0,3.25
5,0.01,4164.0,3.25
6,0.01,4168.0,3.25
7,0.01,4168.0,3.25
8,0.01,4168.0,3.24
9,0.01,4212.0,3.24
10,0.01,4168.0,3.24
12,0.01,4224.0,3.23
14,0.01,4168.0,3.23
16,0.01,4168.0,3.23
18,0.01,4224.0,3.22
20,0.01,4168.0,3.22
25,0.01,4168.0,3.21
30,0.01,4168.0,3.19
35,0.01,4168.0,3.15
40,0.01,4176.0,3.1
50,0.01,4196.0,3.03
75,0.01,4212.0,2.6
100,0.01,4168.0,2.25
250,0.01,4196.0,2.0
500,0.01,4192.0,2.0
750,0.01,4168.0,2.0
1000,0.01,4172.0,2.0
2500,0.01,4172.0,2.0
5000,0.01,4196.0,2.0
7500,0.01,4168.0,2.0
10000,0.01,4164.0,2.0
