K,Iteration,User Time (s),Memory (KB),Passes
8,1,4.16,115308.0,5
8,2,4.92,115216.0,5
8,3,4.5,115192.0,5
8,4,4.49,115180.0,5
8,5,4.71,115196.0,5
8,6,4.53,115308.0,5
8,7,4.36,115144.0,5
8,8,4.74,115228.0,5
8,9,4.5,115148.0,5
8,10,4.89,115196.0,5
8,11,4.39,115184.0,5
8,12,4.58,115240.0,5
8,13,4.21,115340.0,5
8,14,4.6,115248.0,5
8,15,4.33,115252.0,5
8,16,4.57,115196.0,5
8,17,4.46,115256.0,5
8,18,5.01,115248.0,5
8,19,4.88,115196.0,5
8,20,4.84,115156.0,5
8,21,5.42,115140.0,5
8,22,4.97,115216.0,5
8,23,5.52,115256.0,5
8,24,5.49,115200.0,5
8,25,5.53,115308.0,5
8,26,5.34,115160.0,5
8,27,5.24,115144.0,5
8,28,5.36,115252.0,5
8,29,5.47,115160.0,5
8,30,5.47,115160.0,5
8,31,5.43,115308.0,5
8,32,5.44,115200.0,5
8,33,5.6,115136.0,5
8,34,5.36,115160.0,5
8,35,5.32,115232.0,5
8,36,5.14,115344.0,5
8,37,5.34,115180.0,5
8,38,5.44,115196.0,5
8,39,5.37,115148.0,5
8,40,4.96,115156.0,5
8,41,5.47,115244.0,5
8,42,5.24,115160.0,5
8,43,5.28,115276.0,5
8,44,5.16,115196.0,5
8,45,5.32,115252.0,5
8,46,5.49,115344.0,5
8,47,5.03,115216.0,5
8,48,5.44,115196.0,5
8,49,5.32,115336.0,5
8,50,5.51,115156.0,5
