K,Iteration,User Time (s),Memory (KB),Passes
8,1,2.9,193680.0,2
8,2,2.66,193584.0,2
8,3,2.66,193696.0,2
8,4,2.7,193588.0,2
8,5,2.62,193728.0,2
8,6,2.67,193648.0,2
8,7,2.89,193624.0,2
8,8,2.69,193608.0,2
8,9,2.76,193696.0,2
8,10,2.61,193588.0,2
8,11,2.65,193728.0,2
8,12,2.71,193696.0,2
8,13,2.65,193640.0,2
8,14,2.87,193644.0,2
8,15,2.86,193620.0,2
8,16,2.98,193620.0,2
8,17,2.86,193716.0,2
8,18,2.85,193732.0,2
8,19,2.82,193628.0,2
8,20,2.82,193724.0,2
8,21,2.76,193680.0,2
8,22,2.62,193608.0,2
8,23,2.7,193712.0,2
8,24,2.6,193732.0,2
8,25,2.84,193600.0,2
8,26,2.64,193608.0,2
8,27,2.99,193636.0,2
8,28,2.89,193712.0,2
8,29,2.61,193584.0,2
8,30,3.23,193588.0,2
8,31,2.94,193588.0,2
8,32,2.99,193696.0,2
8,33,2.72,193640.0,2
8,34,2.62,193584.0,2
8,35,2.65,193728.0,2
8,36,2.81,193620.0,2
8,37,2.81,193628.0,2
8,38,2.6,193640.0,2
8,39,2.62,193724.0,2
8,40,2.78,193548.0,2
8,41,2.87,193588.0,2
8,42,2.86,193724.0,2
8,43,2.72,193548.0,2
8,44,2.63,193640.0,2
8,45,2.64,193648.0,2
8,46,2.74,193584.0,2
8,47,2.76,193620.0,2
8,48,2.87,193620.0,2
8,49,2.6,193640.0,2
8,50,2.6,193640.0,2
