K,Average User Time (s),Average Memory (KB),Passes
1,899.56,10168.0,424
2,549.79,11272.0,282
3,467.17,12496.0,212
4,414.23,13880.0,173
5,389.77,15124.0,148
6,317.13,16540.0,129
7,303.07,17740.0,114
8,251.5,19232.0,104
9,236.77,20516.0,91
10,205.96,21752.0,86
