K,Time (s),Memory (KB),Passes
1,15.01,25896.0,242
2,3.4,30768.0,14
3,2.28,36172.0,6
4,0.05,14684.0,1
5,0.06,14600.0,1
6,0.06,14484.0,1
7,0.06,14684.0,1
8,0.06,14444.0,1
9,0.05,14668.0,1
10,0.05,14664.0,1
