K,Average User Time (s),Average Memory (KB),Passes
1,1767.18,8680.0,877
2,859.23,10304.0,424
3,588.13,11276.0,282
4,475.53,12612.0,212
5,373.93,13948.0,173
6,307.33,15180.0,148
7,277.31,16496.0,129
8,237.88,17784.0,114
9,211.91,19144.0,104
10,191.12,20388.0,91
