K,Average User Time (s),Average Memory (KB),Passes
1,2030.35,9716.0,697
2,945.73,11216.0,335
3,627.69,12460.0,220
4,511.85,13208.0,164
5,405.18,14656.0,131
6,330.11,16420.0,109
7,309.83,17436.0,93
8,276.48,18824.0,82
9,215.44,20380.0,73
10,239.92,21364.0,65
