N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3228.0,1.0,2.35
20,0.0,3176.0,1.0,2.29
30,0.0001,3144.0,1.0,21.32
40,0.0001,3192.0,1.34,26.42
50,0.0003,3172.0,1.81,30.98
60,0.0004,3224.0,1.98,36.2
70,0.0005,3172.0,2.0,39.95
80,0.0006,3140.0,2.0,44.53
90,0.0007000000000000001,3232.0,2.0,48.77
100,0.0009,3136.0,2.0,52.35
200,0.0026,3148.0,2.01,87.05
300,0.0048,3192.0,2.05,116.31
400,0.0073,3128.0,2.1,134.12
500,0.0104,3192.0,2.15,148.16
600,0.013500000000000002,3172.0,2.18,163.7
700,0.0169,3184.0,2.18,168.95
800,0.021,3188.0,2.21,179.9
900,0.024399999999999998,4252.0,2.16,179.05
1000,0.0294,4192.0,2.24,195.95
1200,0.038,4196.0,2.19,199.32
1400,0.045899999999999996,4156.0,2.12,226.26
1600,0.056900000000000006,4160.0,2.12,220.26
1800,0.068,4228.0,2.12,237.05
2000,0.079,4156.0,2.14,258.86
2500,0.10890000000000001,5268.0,2.13,287.32
3000,0.1384,5184.0,2.05,298.87
3500,0.1698,6244.0,2.01,323.23
4000,0.21,6304.0,2.04,337.56
4500,0.24719999999999998,7328.0,2.02,363.23
5000,0.29719999999999996,7312.0,2.04,409.51
6000,0.3851,8296.0,2.01,422.83
7000,0.4861,9316.0,2.0,460.92
