N,Time (s),Memory (KB),Passes
10,0.0,3784.0,2.0
20,0.0,3916.0,3.0
30,0.0,3988.0,3.06
40,0.0,3912.0,3.07
50,0.0,3808.0,3.09
60,0.0,4000.0,3.12
70,0.0,4032.0,3.16
80,0.0,3936.0,3.16
90,0.0,3828.0,3.19
100,0.0,4044.0,3.24
150,0.0,3860.0,3.35
200,0.0,4076.0,3.4
250,0.0,4108.0,3.44
300,0.0,3936.0,3.51
350,0.0,4176.0,3.54
400,0.0,4180.0,3.62
450,0.0,4136.0,3.63
500,0.0,4228.0,3.66
600,0.01,4292.0,3.67
700,0.01,4288.0,3.74
800,0.01,4344.0,3.78
900,0.01,4256.0,3.81
1000,0.01,4316.0,3.84
1200,0.01,4432.0,3.86
1400,0.02,4732.0,3.9
1600,0.02,4708.0,3.94
1800,0.02,4864.0,3.94
2000,0.02,5040.0,3.94
2500,0.03,5328.0,3.98
3000,0.04,5548.0,4.0
3500,0.05,5704.0,4.02
4000,0.06,6084.0,4.02
4500,0.07,6068.0,4.02
5000,0.07,6320.0,4.04
6000,0.1,7048.0,4.04
7000,0.1,7540.0,4.06
8000,0.12,7704.0,4.06
9000,0.16,8512.0,4.09
10000,0.19,8768.0,4.06
