N,Time (s),Memory (KB),Passes
10,0.0,3912.0,2.0
20,0.0,3920.0,3.0
30,0.0,3844.0,3.0
40,0.0,4024.0,3.0
50,0.0,3924.0,3.0
60,0.0,4028.0,3.0
70,0.0,4032.0,3.0
80,0.0,3820.0,3.0
90,0.0,3924.0,3.0
100,0.0,4048.0,3.0
150,0.0,4064.0,3.0
200,0.0,4040.0,3.0
250,0.0,4008.0,3.0
300,0.0,4156.0,4.0
350,0.0,4044.0,4.0
400,0.0,4200.0,3.0
450,0.0,4156.0,4.0
500,0.0,4184.0,4.0
600,0.0,4260.0,4.0
700,0.01,4180.0,4.0
800,0.0,4256.0,4.0
900,0.01,4388.0,4.0
1000,0.01,4436.0,4.0
1200,0.02,4388.0,4.0
1400,0.02,4752.0,4.0
1600,0.02,4812.0,4.0
1800,0.02,4756.0,4.0
2000,0.03,4784.0,4.0
2500,0.03,5028.0,3.0
3000,0.04,5168.0,4.0
3500,0.05,5296.0,4.0
4000,0.06,5564.0,4.0
4500,0.07,5508.0,4.0
5000,0.08,5828.0,4.0
6000,0.1,5836.0,4.0
7000,0.13,6184.0,4.0
8000,0.14,6472.0,4.0
9000,0.19,7148.0,5.0
10000,0.18,7700.0,4.0
