K,Time (s),Memory (KB),Passes
1,1.27,13456.0,38
2,0.97,16020.0,9
3,0.01,7968.0,1
4,0.02,8168.0,1
5,0.02,7988.0,1
6,0.01,8060.0,1
7,0.02,8060.0,1
8,0.02,8048.0,1
9,0.01,8056.0,1
10,0.01,8160.0,1
