N,Time (s),Memory (KB),Passes
10,0.0,4144.0,1.0
20,0.0,4168.0,1.0
30,0.0,4196.0,1.0
40,0.0,4184.0,2.0
50,0.0,4196.0,2.0
60,0.0,4172.0,2.0
70,0.0,4168.0,2.0
80,0.0,4212.0,2.0
90,0.0,4196.0,2.0
100,0.0,4196.0,2.0
150,0.0,4168.0,2.0
200,0.0,4196.0,2.02
250,0.0,4168.0,2.05
300,0.0,4188.0,2.2
350,0.0,4168.0,2.24
400,0.0,4168.0,2.35
450,0.0,4216.0,2.33
500,0.0,4168.0,2.37
550,0.0,4192.0,2.41
600,0.0,4196.0,2.32
650,0.01,4212.0,2.37
700,0.01,4168.0,2.28
750,0.01,3192.0,2.3
800,0.01,4168.0,2.25
850,0.01,4212.0,2.3
900,0.01,4168.0,2.2
950,0.01,4168.0,2.23
1000,0.01,5200.0,2.22
