N,Time (s),Memory (KB),Passes
10,0.0,4216.0,3.0
20,0.0,4208.0,3.0
30,0.0,4196.0,3.01
40,0.0,4168.0,3.0
50,0.0,4168.0,3.03
60,0.0,4200.0,3.04
70,0.0,4196.0,3.03
80,0.0,4168.0,3.06
90,0.0,4168.0,3.05
100,0.0,4168.0,3.03
150,0.0,4168.0,3.17
200,0.0,4196.0,3.12
250,0.0,4168.0,3.13
300,0.0,4168.0,3.16
350,0.0,4164.0,3.22
400,0.0,4168.0,3.2
450,0.0,4164.0,3.18
500,0.01,4168.0,3.13
550,0.01,3108.0,3.2
600,0.01,4196.0,3.24
650,0.01,4168.0,3.17
700,0.01,4196.0,3.18
750,0.01,4196.0,3.2
800,0.01,4168.0,3.19
850,0.01,4232.0,3.16
900,0.01,4164.0,3.22
950,0.01,4224.0,3.24
1000,0.01,4168.0,3.23
