K,Average User Time (s),Average Memory (KB),Passes
1,277.61,49981.68,571
2,16.952,60898.4,23
3,10.9836,67938.88,12
4,11.2524,78537.04,9
5,5.1486,89935.44,5
6,6.3894,99792.72,6
7,4.569,107611.68,4
8,9.2426,115192.88,11
9,3.906,125417.68,3
10,4.3166,133650.24,3
