K,Time (s),Memory (KB),Passes
1,0.0,3840.0,4
2,0.0,3600.0,4
3,0.0,3740.0,1
4,0.0,3632.0,1
5,0.0,3632.0,1
6,0.0,3636.0,1
7,0.0,3636.0,1
8,0.0,3700.0,1
9,0.0,3636.0,1
10,0.0,3784.0,1
