N,Time (s),Memory (KB),Passes
10,0.0,3852.0,2.0
20,0.0,3924.0,3.0
30,0.0,3952.0,3.06
40,0.0,3864.0,3.05
50,0.0,3960.0,3.07
60,0.0,3752.0,3.08
70,0.0,3968.0,3.1
80,0.0,3952.0,3.1
90,0.0,3980.0,3.15
100,0.0,3888.0,3.15
150,0.0,3804.0,3.2
200,0.0,4072.0,3.24
250,0.0,4044.0,3.26
300,0.0,4000.0,3.3
350,0.01,4092.0,3.32
400,0.01,4144.0,3.31
450,0.01,4204.0,3.32
500,0.01,4116.0,3.38
600,0.01,4064.0,3.38
700,0.02,4324.0,3.41
800,0.02,4280.0,3.43
900,0.02,4412.0,3.46
1000,0.03,4380.0,3.49
1200,0.04,4388.0,3.52
1400,0.04,4660.0,3.58
1600,0.05,4696.0,3.57
1800,0.07,4916.0,3.59
2000,0.08,4936.0,3.61
2500,0.14,4976.0,3.67
3000,0.18,5296.0,3.66
3500,0.19,5556.0,3.7
4000,0.22,5888.0,3.74
4500,0.28,6364.0,3.74
5000,0.31,6424.0,3.73
6000,0.41,7256.0,3.77
7000,0.53,7520.0,3.8
8000,0.65,7852.0,3.82
9000,0.84,8512.0,3.85
10000,0.99,8916.0,3.85
