K,Time (s),Memory (KB),Passes
1,1.71,8192.0,3.8
2,1.7,8192.0,3.8
3,1.7,8192.0,3.78
4,1.7,8192.0,3.77
5,1.69,8192.0,3.77
6,1.68,8192.0,3.77
7,1.72,8192.0,3.77
8,1.7,8192.0,3.77
9,1.71,8192.0,3.76
10,1.68,8192.0,3.76
11,1.68,8192.0,3.77
12,1.67,8192.0,3.76
13,1.7,8192.0,3.78
14,1.7,8192.0,3.77
15,1.72,8192.0,3.78
20,1.7,8192.0,3.77
25,1.7,8192.0,3.78
30,1.68,8192.0,3.78
35,1.7,8192.0,3.79
40,1.72,8192.0,3.78
45,1.71,8192.0,3.78
50,1.69,8192.0,3.76
60,1.7,8192.0,3.77
70,1.71,9216.0,3.84
80,1.69,9216.0,3.85
90,1.74,8192.0,3.85
100,1.74,8192.0,3.84
150,1.75,8192.0,3.83
200,1.67,9216.0,3.79
250,1.7,9216.0,3.84
300,1.69,10240.0,3.84
400,1.74,9216.0,3.86
500,1.72,10240.0,3.85
750,1.71,11264.0,3.8
1000,1.69,13428.0,3.82
1500,1.72,16840.0,3.86
2000,1.69,18736.0,3.78
2500,1.72,21504.0,3.85
3000,1.76,24344.0,3.91
4000,1.72,28004.0,3.8
5000,1.5,31308.0,3.0
7500,1.45,37124.0,3.0
10000,1.16,38972.0,2.0
