K,Average User Time (s),Average Memory (KB),Passes
1,0.02,4596.0,3
2,0.028,4822.4,3
3,0.032,4995.2,2
4,0.048,5175.2,2
5,0.06,5559.2,2
6,0.068,5758.4,2
7,0.064,5620.0,1
8,0.064,5632.0,1
9,0.062,5673.6,1
10,0.064,5610.4,1
