N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,4e-05,4168.0,2.98,9.575
20,0.00011999999999999999,4184.0,3.905,18.355
30,0.00020999999999999998,3108.0,4.369,27.215
40,0.00032,4168.0,4.801,36.004
50,0.00044,3108.0,5.119,44.926
60,0.00058,3108.0,5.38,53.666
70,0.0007199999999999999,4212.0,5.639,62.477
80,0.00086,4168.0,5.805,71.357
90,0.00101,4168.0,5.97,80.072
100,0.00122,4168.0,6.165,89.007
200,0.00316,3108.0,7.234,178.062
300,0.00551,3164.0,7.809,267.567
400,0.00809,4184.0,8.205,356.976
500,0.01087,3108.0,8.495,446.471
600,0.01578,3164.0,8.752,536.744
700,0.02766,4196.0,8.992,626.972
800,0.03168,4164.0,9.154,717.287
900,0.02782,4172.0,9.323,808.045
1000,0.03662,3128.0,9.464,898.213
1200,0.05336,3108.0,9.675,1079.39
1400,0.06803000000000001,4148.0,9.867,1261.38
1600,0.06725,4168.0,9.997,1442.73
1800,0.06066,4168.0,10.143,1625.01
2000,0.06905,4172.0,10.269,1806.53
2500,0.09353,5192.0,10.49,2263.31
3000,0.11527,4132.0,10.743,2719.12
3500,0.14022,6228.0,10.866,3177.29
4000,0.16074000000000002,5236.0,10.985,3634.94
4500,0.18677000000000002,5192.0,11.07,4094.31
5000,0.21249,5156.0,11.21,4553.4
6000,0.26244999999999996,6184.0,11.392,5472.43
7000,0.31203,7320.0,11.569,6392.43
8000,0.37549,7212.0,11.66,7314.58
9000,0.42494,8864.0,11.779,8235.21
10000,0.48,8236.0,11.864,9160.28
