K,Average User Time (s),Average Memory (KB),Passes
1,0.99,15848.0,9
2,0.38,18344.0,2
3,0.76,20836.0,2
4,0.03,20576.0,1
5,0.02,20656.0,1
6,0.03,20680.0,1
7,0.02,20736.0,1
8,0.02,20632.0,1
9,0.03,20708.0,1
10,0.02,20736.0,1
