Running experiments with 1000 iterations, varying N from 10 to 10,000 and seed token 1729
      Average Passes: 3.0, Time/Memory: 33.79,5736
Running kpath variant N with N=1400, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 22.73,5912
Running klev variant 0 with N=1400, sparsity=3, seed=1729...
      Average Passes: 3.58, Time/Memory: 43.36,4660
Running klev variant N with N=1400, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 18.40,5020
Running kpath variant 0 with N=1600, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 41.46,6100
Running kpath variant N with N=1600, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 27.08,6128
Running klev variant 0 with N=1600, sparsity=3, seed=1729...
      Average Passes: 3.57, Time/Memory: 52.32,4696
Running klev variant N with N=1600, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 22.30,5224
Running kpath variant 0 with N=1800, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 48.82,6308
Running kpath variant N with N=1800, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 32.73,6572
Running klev variant 0 with N=1800, sparsity=3, seed=1729...
      Average Passes: 3.59, Time/Memory: 71.13,4916
Running klev variant N with N=1800, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 27.33,5436
Running kpath variant 0 with N=2000, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 52.84,6632
Running kpath variant N with N=2000, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 44.01,6760
Running klev variant 0 with N=2000, sparsity=3, seed=1729...
      Average Passes: 3.61, Time/Memory: 78.42,4936
Running klev variant N with N=2000, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 33.45,5564
Running kpath variant 0 with N=2500, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 69.71,7276
Running kpath variant N with N=2500, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 57.14,7428
Running klev variant 0 with N=2500, sparsity=3, seed=1729...
      Average Passes: 3.67, Time/Memory: 135.85,4976
Running klev variant N with N=2500, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 45.22,6308
Running kpath variant 0 with N=3000, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 104.71,7864
Running kpath variant N with N=3000, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 72.22,8196
Running klev variant 0 with N=3000, sparsity=3, seed=1729...
      Average Passes: 3.66, Time/Memory: 178.49,5296
Running klev variant N with N=3000, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 59.84,6824
Running kpath variant 0 with N=3500, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 147.53,8496
Running kpath variant N with N=3500, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 100.40,8940
Running klev variant 0 with N=3500, sparsity=3, seed=1729...
      Average Passes: 3.7, Time/Memory: 191.76,5556
Running klev variant N with N=3500, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 82.59,7248
Running kpath variant 0 with N=4000, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 129.22,9364
Running kpath variant N with N=4000, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 111.56,9704
Running klev variant 0 with N=4000, sparsity=3, seed=1729...
      Average Passes: 3.74, Time/Memory: 220.94,5888
Running klev variant N with N=4000, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 102.12,7572
Running kpath variant 0 with N=4500, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 192.16,9888
Running kpath variant N with N=4500, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 129.80,10144
Running klev variant 0 with N=4500, sparsity=3, seed=1729...
      Average Passes: 3.74, Time/Memory: 275.62,6364
Running klev variant N with N=4500, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 117.00,8084
Running kpath variant 0 with N=5000, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 216.72,10432
Running kpath variant N with N=5000, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 140.76,11024
Running klev variant 0 with N=5000, sparsity=3, seed=1729...
      Average Passes: 3.73, Time/Memory: 313.38,6424
Running klev variant N with N=5000, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 121.02,8376
Running kpath variant 0 with N=6000, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 288.85,11736
Running kpath variant N with N=6000, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 171.07,12480
Running klev variant 0 with N=6000, sparsity=3, seed=1729...
      Average Passes: 3.77, Time/Memory: 408.07,7256
Running klev variant N with N=6000, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 155.68,10268
Running kpath variant 0 with N=7000, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 303.62,13116
Running kpath variant N with N=7000, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 206.28,13880
Running klev variant 0 with N=7000, sparsity=3, seed=1729...
      Average Passes: 3.8, Time/Memory: 530.23,7520
Running klev variant N with N=7000, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 239.05,10548
Running kpath variant 0 with N=8000, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 360.85,14484
Running kpath variant N with N=8000, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 335.19,15224
Running klev variant 0 with N=8000, sparsity=3, seed=1729...
      Average Passes: 3.82, Time/Memory: 654.51,7852
Running klev variant N with N=8000, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 280.99,13032
Running kpath variant 0 with N=9000, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 490.82,15912
Running kpath variant N with N=9000, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 306.27,16784
Running klev variant 0 with N=9000, sparsity=3, seed=1729...
      Average Passes: 3.85, Time/Memory: 837.23,8512
Running klev variant N with N=9000, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 344.72,12480
Running kpath variant 0 with N=10000, sparsity=3, seed=1729...
      Average Passes: 3.04, Time/Memory: 531.67,17152
Running kpath variant N with N=10000, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 402.14,18096
Running klev variant 0 with N=10000, sparsity=3, seed=1729...
      Average Passes: 3.85, Time/Memory: 990.13,8916
Running klev variant N with N=10000, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 355.98,14288
