N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4196.0,1.0,2.35
20,0.0,3172.0,1.0,2.29
30,0.0,3172.0,1.0,1.94
40,0.0,3188.0,1.0,1.57
50,0.0001,3212.0,1.0,1.14
60,0.0001,3232.0,1.0,1.01
70,0.0001,3176.0,1.0,1.02
80,0.0002,3184.0,1.0,0.5
90,0.0002,3232.0,1.0,0.93
100,0.0002,4176.0,1.0,0.73
200,0.0019,3180.0,2.0,86.63
300,0.0036,3192.0,2.13,114.92
400,0.0062,3200.0,2.4,131.94
500,0.0087,4172.0,2.46,139.68
600,0.013000000000000001,3168.0,2.83,153.28
700,0.0173,4196.0,3.03,151.19
800,0.0213,4248.0,3.14,158.85
900,0.0258,5196.0,3.18,148.78
1000,0.030899999999999997,4160.0,3.2,162.24
1200,0.041100000000000005,5200.0,3.14,148.98
1400,0.0633,5220.0,3.83,175.64
1600,0.0794,5244.0,4.01,157.13
1800,0.0931,5220.0,4.07,168.46
2000,0.1115,5248.0,4.12,180.07
2500,0.18280000000000002,6208.0,4.88,195.96
3000,0.2459,7232.0,5.04,188.67
3500,0.3465,7288.0,5.54,202.89
4000,0.4357,8292.0,5.95,202.57
4500,0.5209,8244.0,6.01,210.73
5000,0.6796,9328.0,6.56,253.45
6000,0.9311,10312.0,6.99,239.26
7000,1.3014,12400.0,7.87,263.81
