N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3172.0,1.0,2.35
20,0.0,3160.0,1.0,2.29
30,0.0,3164.0,1.0,1.94
40,0.0,4164.0,1.0,1.57
50,0.0,3232.0,1.0,1.14
60,0.0001,3232.0,1.0,1.01
70,0.0001,3172.0,1.0,1.02
80,0.0002,3128.0,1.0,0.5
90,0.0002,3204.0,1.0,0.93
100,0.0002,3144.0,1.0,0.73
200,0.002,4172.0,2.0,86.63
300,0.0034999999999999996,3196.0,2.0,114.7
400,0.0058,3224.0,2.23,131.85
500,0.0085,3164.0,2.39,139.32
600,0.0125,3136.0,2.69,152.41
700,0.0172,4204.0,2.95,151.33
800,0.0208,4196.0,2.98,158.43
900,0.0246,4168.0,2.99,148.9
1000,0.029500000000000002,4252.0,2.99,162.01
1200,0.0393,4188.0,3.02,148.99
1400,0.0592,5236.0,3.62,175.31
1600,0.07730000000000001,5244.0,3.9,157.12
1800,0.09210000000000002,6212.0,3.89,168.29
2000,0.106,5236.0,3.88,180.5
2500,0.18170000000000003,6244.0,4.75,196.49
3000,0.2372,7280.0,4.88,188.66
3500,0.3309,7320.0,5.42,202.37
4000,0.4338,8296.0,5.92,202.62
4500,0.5159,8292.0,5.93,210.73
5000,0.6835,9284.0,6.48,253.61
6000,0.8974,10388.0,6.94,238.99
7000,1.3211000000000002,12412.0,7.77,263.81
