K,Time (s),Memory (KB),Passes
1,0.66,9248.0,2.0
2,0.64,10232.0,2.0
3,0.6,10788.0,1.99
4,0.53,11548.0,1.62
5,0.48,12848.0,1.17
6,0.44,13060.0,1.01
7,0.41,13504.0,1.0
8,0.41,13392.0,1.0
9,0.4,13388.0,1.0
10,0.41,13396.0,1.0
12,0.4,13328.0,1.0
14,0.42,13420.0,1.0
16,0.43,13512.0,1.0
18,0.41,13488.0,1.0
20,0.41,13472.0,1.0
25,0.41,13388.0,1.0
30,0.46,13516.0,1.0
35,0.43,13324.0,1.0
40,0.42,13392.0,1.0
50,0.41,13472.0,1.0
75,0.44,13308.0,1.0
100,0.21,91904.0,1.0
250,0.21,91992.0,1.0
500,0.21,92000.0,1.0
750,0.24,91832.0,1.0
1000,0.22,92052.0,1.0
2500,0.21,91932.0,1.0
5000,0.21,92040.0,1.0
7500,0.21,91940.0,1.0
10000,0.21,91832.0,1.0
