K,Time (s),Memory (KB),Passes
1,8.82,9308.0,45.6
2,0.78,9256.0,4.0
3,0.72,10712.0,3.0
4,0.59,11352.0,3.0
5,0.48,12900.0,2.0
6,0.4,13776.0,2.0
7,0.4,14720.0,2.0
8,0.49,15728.0,2.0
9,0.49,16580.0,2.0
10,0.46,17656.0,2.0
12,0.4,19484.0,2.0
14,0.41,21396.0,2.0
16,0.42,23284.0,2.0
18,0.47,25124.0,2.0
20,0.41,26540.0,2.0
25,0.42,31744.0,2.0
30,0.43,36288.0,2.0
35,0.46,41168.0,2.0
40,0.44,45848.0,2.0
50,0.47,55160.0,2.0
75,0.54,78552.0,2.0
100,0.21,91996.0,1.0
250,0.21,91940.0,1.0
500,0.21,92004.0,1.0
750,0.22,91832.0,1.0
1000,0.24,92088.0,1.0
2500,0.21,91940.0,1.0
5000,0.22,91880.0,1.0
7500,0.25,92004.0,1.0
10000,0.25,92008.0,1.0
