K,Time (s),Memory (KB),Passes
1,28.16,8068.0,147.11
2,3.58,9060.0,16.47
3,1.37,10248.0,6.31
4,1.03,11316.0,5.0
5,0.78,12416.0,4.0
6,0.77,13264.0,4.0
7,0.77,14284.0,4.0
8,0.77,15268.0,4.0
9,0.79,16116.0,4.0
10,0.68,17148.0,3.04
12,0.66,19204.0,3.0
14,0.59,20904.0,3.0
16,0.7,22900.0,3.0
18,0.6,24752.0,3.0
20,0.61,26620.0,3.0
25,0.72,31356.0,3.0
30,0.67,35956.0,3.0
35,0.74,40736.0,3.0
40,0.72,45316.0,3.0
50,0.83,54816.0,3.0
75,1.04,78192.0,3.0
100,1.27,101672.0,3.0
250,1.08,102760.0,2.0
500,1.09,102596.0,2.0
750,1.07,102768.0,2.0
1000,1.04,102684.0,2.0
2500,1.04,102776.0,2.0
5000,1.03,102768.0,2.0
7500,1.08,102748.0,2.0
10000,1.04,102656.0,2.0
