M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.2724,6256.0,3.02,16.34
2000,0.2626,6244.0,3.36,25.92
3000,0.2648,6280.0,3.42,28.89
4000,0.2693,6244.0,3.74,30.64
5000,0.26890000000000003,7152.0,3.71,32.15
6000,0.273,6256.0,3.86,33.6
7000,0.2727,6208.0,3.92,34.69
8000,0.2693,7264.0,3.95,35.41
9000,0.27190000000000003,8292.0,4.01,36.37
10000,0.2768,7232.0,4.08,36.81
12000,0.2766,7268.0,4.05,38.3
14000,0.2776,8256.0,4.12,39.19
16000,0.2823,8312.0,4.16,40.33
18000,0.2832,7220.0,4.14,41.15
25000,0.294,8216.0,4.43,44.49
30000,0.3048,7268.0,4.75,46.0
35000,0.3124,8308.0,4.84,47.67
40000,0.32159999999999994,8716.0,5.04,50.16
45000,0.3299,8568.0,5.07,51.92
50000,0.3337,8312.0,5.13,53.28
60000,0.34979999999999994,8276.0,5.35,55.82
70000,0.3736,9008.0,5.57,58.75
80000,0.3924,8320.0,5.93,61.6
90000,0.41100000000000003,8308.0,6.16,65.06
100000,0.4343,8352.0,6.26,67.58
200000,0.7375,8300.0,9.08,94.78
300000,1.219,8260.0,12.34,124.04
400000,1.9637,8280.0,16.03,154.79
500000,2.858,8268.0,20.05,187.24
600000,3.864,8260.0,24.0,219.62
