K,Time (s),Memory (MB),Passes
1,1314.24,8.95,870
2,860.96,10.21,430
3,424.79,11.11,277
4,380.21,12.41,207
5,285.77,13.78,172
6,215.51,15.11,142
7,195.93,16.30,128
8,194.85,17.67,114
9,188.69,18.76,102
10,145.12,20.25,95
