K,Time (s),Memory (MB),Passes
1,1387.73,8.81,877
2,669.98,10.15,424
3,434.88,11.24,282
4,391.25,12.40,212
5,299.57,13.72,173
6,228.60,14.97,148
7,255.43,16.39,129
8,197.57,17.47,114
9,210.96,18.92,104
10,167.85,20.02,91
