K,Time (s),Memory (MB),Passes
1,1304.13,9.21,770
2,459.52,10.30,284
3,365.17,11.29,194
4,291.22,12.23,155
5,232.06,13.63,128
6,227.07,14.80,112
7,178.86,16.15,102
8,154.51,17.54,91
9,155.04,18.73,83
10,147.53,20.12,77
