K,Time (s),Memory (MB),Passes
1,20.87,576.57,10
2,20.40,410.53,9
3,16.96,398.73,8
4,18.22,403.80,8
5,17.04,467.78,8
6,15.67,349.68,7
7,14.76,330.32,7
8,15.60,368.54,7
9,14.26,409.55,7
10,13.71,426.24,6
