K,Average User Time (s),Average Memory (KB),Passes
1,15.61,51848.8,6
2,15.45,51787.2,6
3,15.368,51875.2,6
4,15.562,51791.2,6
5,15.442,51814.4,6
6,15.432,51839.2,6
7,15.384,51869.6,6
8,16.006,51824.8,6
9,15.778,51832.8,6
10,15.91,51796.8,6
