M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0006,42048.0,1.0,0.15
2000,0.001,45104.0,1.0,0.18
3000,0.0016,47152.0,1.0,0.44
4000,0.0021,49212.0,1.0,0.34
5000,0.0025,54356.0,1.0,0.44
6000,0.0031,57392.0,1.0,0.39
7000,0.0036,60500.0,1.0,0.32
8000,0.0042,63584.0,1.0,0.22
9000,0.0044,63560.0,1.0,0.23
10000,0.005,65628.0,1.0,0.22
12000,0.0062,68640.0,1.0,0.14
14000,0.0064,68664.0,1.0,0.15
16000,0.0073,70704.0,1.0,0.05
18000,0.008199999999999999,69664.0,1.0,0.03
25000,0.0109,72780.0,1.0,23.89
30000,0.012199999999999999,74844.0,1.0,46.85
35000,0.013600000000000001,74808.0,1.0,131.07
40000,0.0147,74816.0,1.0,481.53
45000,0.015700000000000002,76872.0,1.0,1074.67
50000,0.0171,76892.0,1.0,1462.3
60000,0.11869999999999999,13396.0,1.08,8138.29
70000,0.13019999999999998,13364.0,1.14,8396.5
80000,0.139,12380.0,1.15,8589.59
90000,0.1482,12324.0,1.15,8739.58
100000,0.1573,12340.0,1.15,8859.5
200000,0.2218,12352.0,1.15,9424.37
300000,0.2787,12324.0,1.15,9620.0
400000,0.335,12320.0,1.15,9716.88
500000,0.3918,12324.0,1.15,9774.91
600000,0.4436,13360.0,1.15,9815.88
700000,0.5036,12360.0,1.15,9844.11
800000,0.5544,12352.0,1.15,9865.04
900000,0.614,12324.0,1.15,9880.75
1000000,0.6659,12324.0,1.15,9893.12
2000000,1.2164,12408.0,1.15,9950.97
4000000,2.3373,12324.0,1.15,9977.45
6000000,3.4471,12328.0,1.15,9986.09
8000000,4.5649,11336.0,1.15,9990.46
10000000,5.6953,12356.0,1.15,9992.81
15000000,8.499600000000001,11324.0,1.15,9996.23
20000000,11.206900000000001,11308.0,1.15,9997.74
25000000,14.013800000000002,12352.0,1.15,9998.69
