K,Time (s),Memory (KB),Passes
1,0.57,7984.0,5
2,0.57,7888.0,5
3,0.57,7952.0,5
4,0.58,7888.0,5
5,0.57,7984.0,5
6,0.57,7888.0,5
7,0.57,8016.0,5
8,0.57,7888.0,5
9,0.57,7952.0,5
10,0.57,7888.0,5
