N,Time (s),Memory (KB),Passes
10,0.0,11820.0,1.0
20,0.0,18980.0,1.0
30,0.0,25896.0,1.0
40,0.0,32832.0,1.0
50,0.0,39916.0,1.0
60,0.0,46348.0,1.0
70,0.0,53344.0,1.0
80,0.0,59976.0,1.0
90,0.0,67056.0,1.0
100,0.0,73772.0,1.0
150,0.0,107624.0,1.0
200,0.0,144268.0,1.0
250,0.0,179420.0,1.0
300,0.0,214404.0,1.0
350,0.0,248576.0,1.0
400,0.0,283116.0,1.0
450,0.0,319020.0,1.0
500,0.0,352444.0,1.0
600,0.0,418368.0,1.0
700,0.0,487516.0,1.0
800,0.0,558048.0,1.0
900,0.0,627940.0,1.0
1000,0.0,699024.0,1.0
1200,0.01,4960.0,1.0
1400,0.01,5184.0,1.0
1600,0.01,5288.0,1.0
1800,0.01,5620.0,1.0
2000,0.01,6132.0,1.0
2500,0.02,6388.0,1.0
3000,0.02,6792.0,1.0
3500,0.02,7452.0,1.0
4000,0.03,8116.0,1.0
4500,0.03,9084.0,1.0
5000,0.04,9240.0,1.0
6000,0.05,10312.0,1.0
7000,0.06,12160.0,1.0
8000,0.07,14168.0,1.0
9000,0.08,14412.0,1.0
10000,0.1,16008.0,1.0
