K,Time (s),Memory (KB),Passes
1,0.22,9216.0,2.28
2,0.21,9216.0,2.0
3,0.21,10240.0,2.0
4,0.2,11264.0,1.6
5,0.18,12288.0,1.15
6,0.18,12288.0,1.01
7,0.18,13312.0,1.0
8,0.18,13312.0,1.0
9,0.18,13312.0,1.0
10,0.18,12288.0,1.0
11,0.18,13312.0,1.0
12,0.18,12288.0,1.0
13,0.18,12288.0,1.0
14,0.04,74752.0,1.0
15,0.04,74752.0,1.0
20,0.04,74752.0,1.0
25,0.04,74752.0,1.0
30,0.04,74752.0,1.0
35,0.04,74752.0,1.0
40,0.04,74752.0,1.0
45,0.04,74752.0,1.0
50,0.04,74752.0,1.0
60,0.04,74752.0,1.0
70,0.04,74752.0,1.0
80,0.04,74752.0,1.0
90,0.04,74752.0,1.0
100,0.04,74752.0,1.0
150,0.04,74752.0,1.0
200,0.04,74752.0,1.0
250,0.04,74752.0,1.0
300,0.04,74752.0,1.0
400,0.04,74752.0,1.0
500,0.04,74752.0,1.0
750,0.04,74752.0,1.0
1000,0.04,74752.0,1.0
1500,0.04,74752.0,1.0
2000,0.04,74752.0,1.0
2500,0.04,74752.0,1.0
3000,0.04,74752.0,1.0
4000,0.04,74752.0,1.0
5000,0.04,74752.0,1.0
7500,0.04,74752.0,1.0
10000,0.04,74752.0,1.0
