K,Time (s),Memory (KB),Passes
1,4.97,7160.0,124.44
2,0.48,8192.0,11.81
3,0.17,9216.0,4.0
4,0.18,10240.0,4.0
5,0.13,11264.0,3.0
6,0.13,12288.0,3.0
7,0.14,13312.0,3.0
8,0.14,14336.0,3.0
9,0.14,15360.0,3.0
10,0.14,16384.0,3.0
11,0.15,17408.0,3.0
12,0.15,18432.0,3.0
13,0.15,19456.0,3.0
14,0.15,20480.0,3.0
15,0.11,20760.0,2.0
20,0.11,20760.0,2.0
25,0.11,20760.0,2.0
30,0.11,21836.0,2.0
35,0.11,20760.0,2.0
40,0.11,20928.0,2.0
45,0.11,20760.0,2.0
50,0.11,20848.0,2.0
60,0.11,20760.0,2.0
70,0.11,20760.0,2.0
80,0.11,20760.0,2.0
90,0.11,21904.0,2.0
100,0.11,20756.0,2.0
150,0.11,20756.0,2.0
200,0.11,20760.0,2.0
250,0.11,20944.0,2.0
300,0.11,20760.0,2.0
400,0.11,20760.0,2.0
500,0.11,20760.0,2.0
750,0.11,21032.0,2.0
1000,0.11,20756.0,2.0
1500,0.11,20760.0,2.0
2000,0.11,20844.0,2.0
2500,0.11,20760.0,2.0
3000,0.11,20864.0,2.0
4000,0.11,20760.0,2.0
5000,0.11,20760.0,2.0
7500,0.11,20756.0,2.0
10000,0.11,20856.0,2.0
