K,Time (s),Memory (KB),Passes
1,0.31,8192.0,4.15
2,0.31,8192.0,4.15
3,0.31,8192.0,4.16
4,0.31,8192.0,4.16
5,0.31,7168.0,4.16
6,0.31,8192.0,4.15
7,0.31,8192.0,4.15
8,0.31,8192.0,4.15
9,0.31,8192.0,4.15
10,0.31,8192.0,4.15
11,0.31,8192.0,4.15
12,0.31,8192.0,4.14
13,0.31,8192.0,4.13
14,0.31,8192.0,4.13
15,0.31,8192.0,4.12
20,0.31,8192.0,4.1
25,0.31,8192.0,4.1
30,0.31,8192.0,4.08
35,0.3,8192.0,4.07
40,0.3,8192.0,4.06
45,0.31,8192.0,4.05
50,0.3,8192.0,4.05
60,0.31,8192.0,4.03
70,0.31,8192.0,4.02
80,0.3,8192.0,4.02
90,0.31,8192.0,4.01
100,0.31,8192.0,4.01
150,0.3,8192.0,4.0
200,0.31,8192.0,4.0
250,0.3,8192.0,4.0
300,0.31,8192.0,4.0
400,0.31,8192.0,4.0
500,0.31,8192.0,4.0
750,0.31,8192.0,4.0
1000,0.3,9216.0,4.0
1500,0.3,9216.0,4.0
2000,0.3,9216.0,4.0
2500,0.3,10240.0,3.99
3000,0.3,10240.0,4.0
4000,0.29,10240.0,3.99
5000,0.25,11264.0,3.0
7500,0.24,11264.0,3.0
10000,0.2,12288.0,2.0
